parametre,Sobol_S1,Sobol_ST,sortie,region,n_region,Q2_cv,status,part_des_points
type_f3_2,0.0,0.0001863648477472872,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
Date_Semis,5.866051726361233e-05,0.00018057303790981264,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
Delta_PREPA_Semis,0.00016630996146096454,0.08396215497831641,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
Date_F1,0.0,0.0,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
Date_F2,0.0,0.0,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
Date_F3,0.0,0.0,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
Date_Recolte,2.057023023022944e-05,0.0001336001826874498,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
Dose_F1_1,0.0,0.0,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
Dose_F1_2,0.0,0.0,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
Dose_F2_1,0.0,0.0,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
Dose_F2_2,0.0,0.9963058016199655,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
Dose_F3_1,0.0,0.0,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
Dose_F3_2,1.0591095662839684e-06,1.0591095662839684e-06,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
n_ferti,0.002523414576319163,0.01590467641168063,N_lixi,R05,1031,0.6605904868732166,ok,0.1031
has_prepa,0.018208426511027536,0.4774460613495168,N_lixi,R05,1031,0.6605904868732166,ok,0.1031
nb_prepa,0.011380266569390927,0.011380266569390927,N_lixi,R05,1031,0.6605904868732166,ok,0.1031
prepa_1,0.0,0.0,N_lixi,R05,1031,0.6605904868732166,ok,0.1031
nb_f1,0.011380266569390927,0.4648032516058401,N_lixi,R05,1031,0.6605904868732166,ok,0.1031
type_f1_1,0.0,5.636017531197177e-05,N_lixi,R05,1031,0.6605904868732166,ok,0.1031
nb_f2,0.011380266569390927,0.01612777196325404,N_lixi,R05,1031,0.6605904868732166,ok,0.1031
type_f2_1,0.0,8.597492787669459e-05,N_lixi,R05,1031,0.6605904868732166,ok,0.1031
nb_f3,0.011380266569390927,0.021380969520518617,N_lixi,R05,1031,0.6605904868732166,ok,0.1031
type_f3_1,0.0002086984502958684,0.0019328724014027374,N_lixi,R05,1031,0.6605904868732166,ok,0.1031
prepa_2,0.0,0.0,N_lixi,R05,1031,0.6605904868732166,ok,0.1031
type_f1_2,0.0,6.10956549165687e-05,N_lixi,R05,1031,0.6605904868732166,ok,0.1031
type_f2_2,0.0007712615068882741,0.006095844041963066,N_lixi,R05,1031,0.6605904868732166,ok,0.1031
type_f3_2,0.0011510702002206243,0.01013990316799328,N_lixi,R05,1031,0.6605904868732166,ok,0.1031
Date_Semis,0.00028789624590142444,0.0021865883842522456,N_lixi,R05,1031,0.6605904868732166,ok,0.1031
Delta_PREPA_Semis,0.0008408595452023634,0.001955185150757606,N_lixi,R05,1031,0.6605904868732166,ok,0.1031
